First Name;Last Name;Email;LinkedIn;University field of study;University attended;Employment industry;Employment role in above mentioned industries;Are you technical?;Gender;Age;Do you have a cofounder?;When do you want to start working on a startup full-time? (months);Fields of knowledge;Level of expertise in fields mentioned above on a 6 - 10 scale;Which areas of a startup are you willing to take responsibility for?;Which topics and industries are you interested in?;Impact areas of interest?;;;;;;;;;;;;;;
Alex;Jones;alex.jones@example.com;https://www.linkedin.com/in/alexjones;Computer and Information Sciences;SU;Healthcare, IT;Data Scientist, Software Engineer;Yes;Other;34;Yes;20;IT;6;Sales and marketing;Real Estate / Proptech, Artificial Intelligence;Infrastructure, Finance, Energy;;;;;;;;;;;;;;
Emily;Smith;emily.smith@test.com;https://www.linkedin.com/in/emilysmith;Industrial Engineering;SU;Manufacturing, Consulting;Supply Chain Manager, Operations Manager;Yes;Other;34;No;22;Business;10;Product;Blockchain, B2B / Enterprise, Real Estate / Proptech;Circular economy;;;;;;;;;;;;;;
John;Jones;john.jones@demo.com;https://www.linkedin.com/in/johnjones;Physical Sciences;SU;Environmental Science, Research, Healthcare;Research Scientist, Materials Scientist;Yes;Male;27;Yes;21;Biochemistry;8;Sales and marketing;Blockchain;Education;;;;;;;;;;;;;;
Michael;Johnson;michael.johnson@demo.com;https://www.linkedin.com/in/michaeljohnson;Industrial Engineering;SU;Industrial Engineering, Manufacturing;Supply Chain Manager;Yes;Female;35;No;20;Industrial Engineering;10;Operations;Marketplace;Energy, Nutrition, Communications;;;;;;;;;;;;;;
Alex;Brown;alex.brown@test.com;https://www.linkedin.com/in/alexbrown;Physical Sciences;SU;Environmental Science, Healthcare, Research;Physicist, Lab Technician;Yes;Female;31;No;21;Industrial Engineering, Business;8;Product;Real Estate / Proptech;Healthcare, Energy;;;;;;;;;;;;;;
Michael;Jones;michael.jones@example.com;https://www.linkedin.com/in/michaeljones;Mathematics and Statistics;SU;Research, IT, Insurance;Statistician, Quantitative Analyst;Yes;Male;26;No;12;IT, Insurance;8;Product;B2B / Enterprise;Circular economy;;;;;;;;;;;;;;
John;Williams;john.williams@demo.com;https://www.linkedin.com/in/johnwilliams;Industrial Engineering;SU;Industrial Engineering, Consulting, Manufacturing;Supply Chain Manager, Industrial Engineer;Yes;Other;26;Yes;8;Industrial Engineering;6;Product, Operations;Real Estate / Proptech, Artificial Intelligence, B2B / Enterprise;Nutrition, Healthcare;;;;;;;;;;;;;;
Michael;Jones;michael.jones@example.com;https://www.linkedin.com/in/michaeljones;Physical Sciences;UP;Energy;Materials Scientist;Yes;Other;31;Yes;3;Mechanical Engineering, Investments;9;Sales and marketing;B2B / Enterprise;Agriculture, Healthcare, Communications;;;;;;;;;;;;;;
Jessica;Brown;jessica.brown@example.com;https://www.linkedin.com/in/jessicabrown;Mathematics and Statistics;UP;Finance, IT;Data Analyst, Actuary;Yes;Other;24;No;21;IT;8;Operations;Marketplace;Energy;;;;;;;;;;;;;;
John;Johnson;john.johnson@demo.com;https://www.linkedin.com/in/johnjohnson;Law;UP;Corporate;Legal Advisor;No;Other;26;Yes;8;Insurance, Chemical Engineering;6;Operations;B2B / Enterprise;Communications;;;;;;;;;;;;;;
John;Brown;john.brown@test.com;https://www.linkedin.com/in/johnbrown;Civil Engineering;UP;Construction, Urban Planning, Civil Engineering;Civil Engineer, Construction Manager;No;Male;25;No;23;Civil Engineering;9;Sales and marketing;B2B / Enterprise;Circular economy, Nutrition;;;;;;;;;;;;;;
David;Johnson;david.johnson@demo.com;https://www.linkedin.com/in/davidjohnson;Psychology;UP;Healthcare;Research Psychologist;No;Male;32;No;17;Civil Engineering, Electrical Engineering;7;Sales and marketing, Product;Marketplace, Climate / Sustainability, Blockchain;Circular economy, Agriculture, Early childhood development;;;;;;;;;;;;;;
John;Martinez;john.martinez@demo.com;https://www.linkedin.com/in/johnmartinez;Electrical Engineering;UP;IT, Electrical Engineering;Network Engineer, Project Engineer;Yes;Other;25;No;6;Electrical Engineering;9;Product, Sales and marketing;Artificial Intelligence, B2B / Enterprise, Blockchain;Healthcare, Finance;;;;;;;;;;;;;;
Jane;Brown;jane.brown@test.com;https://www.linkedin.com/in/janebrown;Industrial Engineering;UP;Logistics;Industrial Engineer;Yes;Female;23;No;16;Logistics;8;Operations, Product;Climate / Sustainability, Real Estate / Proptech;Finance, Infrastructure, Education;;;;;;;;;;;;;;
Alex;Martinez;alex.martinez@test.com;https://www.linkedin.com/in/alexmartinez;Mechanical Engineering;UP;Automotive, Mechanical Engineering, Aerospace;Manufacturing Engineer, Mechanical Engineer;Yes;Other;35;Yes;22;Mechanical Engineering;6;Product, Operations;Blockchain, Artificial Intelligence;Infrastructure;;;;;;;;;;;;;;
Alex;Martinez;alex.martinez@demo.com;https://www.linkedin.com/in/alexmartinez;Psychology;UP;Healthcare;Counselor;No;Female;32;Yes;12;Electrical Engineering, Statistics, Maths;8;Operations;B2B / Enterprise, Climate / Sustainability, Marketplace;Early childhood development, Agriculture, Finance;;;;;;;;;;;;;;
Alex;Smith;alex.smith@example.com;https://www.linkedin.com/in/alexsmith;Law;UP;Legal;Lawyer;No;Female;22;Yes;11;Biochemistry;6;Product, Operations;Climate / Sustainability;Circular economy;;;;;;;;;;;;;;
Anna;Garcia;anna.garcia@demo.com;https://www.linkedin.com/in/annagarcia;Business, Economics and Management Sciences;UP;Finance, Business;Business Analyst, Consultant;No;Male;34;Yes;21;Business;6;Product;Climate / Sustainability, Blockchain;Nutrition, Agriculture, Energy;;;;;;;;;;;;;;
Alex;Jones;alex.jones@example.com;https://www.linkedin.com/in/alexjones;Physical Sciences;UP;Healthcare;Materials Scientist;Yes;Male;28;Yes;13;Investments;9;Sales and marketing, Operations;Blockchain;Infrastructure;;;;;;;;;;;;;;
Robert;Garcia;robert.garcia@demo.com;https://www.linkedin.com/in/robertgarcia;Industrial Engineering;UP;Industrial Engineering;Industrial Engineer;Yes;Male;21;No;14;Industrial Engineering;10;Operations;Real Estate / Proptech, Marketplace;Infrastructure;;;;;;;;;;;;;;
David;Martinez;david.martinez@test.com;https://www.linkedin.com/in/davidmartinez;Chemical Engineering;UP;Pharmaceuticals, Food Production, Chemical Engineering;Quality Control Engineer, Project Manager;Yes;Female;21;Yes;21;Chemical Engineering;7;Product, Operations;Blockchain, Climate / Sustainability, Real Estate / Proptech;Infrastructure, Education, Finance;;;;;;;;;;;;;;
Jessica;Williams;jessica.williams@example.com;https://www.linkedin.com/in/jessicawilliams;Electrical Engineering;UKZN;Electrical Engineering;Electrical Engineer;No;Male;22;Yes;10;Electrical Engineering;10;Sales and marketing;B2B / Enterprise, Climate / Sustainability, Artificial Intelligence;Nutrition, Early childhood development, Education;;;;;;;;;;;;;;
Alex;Doe;alex.doe@example.com;https://www.linkedin.com/in/alexdoe;Law;UKZN;Legal, Corporate;Lawyer, Compliance Officer;No;Male;32;No;8;Investments, Logistics;8;Operations;Marketplace;Finance;;;;;;;;;;;;;;
Sarah;Miller;sarah.miller@demo.com;https://www.linkedin.com/in/sarahmiller;Agriculture, Agricultural Operations & Related Sciences;UKZN;Agriculture, Environmental Science, Food Production;Food Scientist;No;Other;27;No;4;Biochemistry, Investments;7;Operations, Sales and marketing;Marketplace;Early childhood development, Infrastructure;;;;;;;;;;;;;;
Jane;Brown;jane.brown@test.com;https://www.linkedin.com/in/janebrown;Psychology;UKZN;Research, Human Resources, Education;Counselor, Human Resources Manager;No;Other;31;No;8;Investments, Statistics, Industrial Engineering;8;Product;Real Estate / Proptech, Marketplace, Artificial Intelligence;Early childhood development, Communications;;;;;;;;;;;;;;
Jessica;Davis;jessica.davis@demo.com;https://www.linkedin.com/in/jessicadavis;Chemical Engineering;UKZN;Chemical Engineering, Food Production, Environmental Science;Quality Control Engineer, Process Engineer;Yes;Male;26;Yes;11;Chemical Engineering;6;Operations;Blockchain, Climate / Sustainability, Marketplace;Infrastructure, Agriculture;;;;;;;;;;;;;;
John;Martinez;john.martinez@demo.com;https://www.linkedin.com/in/johnmartinez;Agriculture, Agricultural Operations & Related Sciences;UKZN;Environmental Science, Agriculture, Food Production;Agricultural Manager, Agronomist;No;Male;20;Yes;10;Industrial Engineering;7;Sales and marketing, Product;Climate / Sustainability, Marketplace, Blockchain;Infrastructure, Energy;;;;;;;;;;;;;;
David;Doe;david.doe@test.com;https://www.linkedin.com/in/daviddoe;Civil Engineering;UKZN;Construction, Urban Planning;Construction Manager, Civil Engineer;No;Male;27;No;13;Biochemistry, Business;10;Product;Artificial Intelligence, Blockchain, B2B / Enterprise;Early childhood development, Healthcare;;;;;;;;;;;;;;
Anna;Jones;anna.jones@demo.com;https://www.linkedin.com/in/annajones;Industrial Engineering;UKZN;Consulting, Industrial Engineering;Project Manager, Supply Chain Manager;Yes;Female;35;No;16;Industrial Engineering;8;Sales and marketing;Artificial Intelligence, Climate / Sustainability, Marketplace;Finance, Infrastructure, Early childhood development;;;;;;;;;;;;;;
Emily;Johnson;emily.johnson@example.com;https://www.linkedin.com/in/emilyjohnson;Mechanical Engineering;UKZN;Aerospace, Manufacturing, Mechanical Engineering;Manufacturing Engineer, Product Manager;Yes;Female;25;Yes;13;Mechanical Engineering;7;Sales and marketing, Operations;Artificial Intelligence, Real Estate / Proptech, Marketplace;Agriculture, Early childhood development, Communications;;;;;;;;;;;;;;
Jane;Brown;jane.brown@example.com;https://www.linkedin.com/in/janebrown;Civil Engineering;UKZN;Construction, Urban Planning;Construction Manager, Urban Planner;No;Female;22;No;21;Marketing, Investments;6;Operations;Marketplace, B2B / Enterprise, Artificial Intelligence;Early childhood development;;;;;;;;;;;;;;
Sarah;Johnson;sarah.johnson@example.com;https://www.linkedin.com/in/sarahjohnson;Business, Economics and Management Sciences;UKZN;Business;Consultant;No;Male;32;No;18;Business;10;Sales and marketing;Real Estate / Proptech, Marketplace;Early childhood development;;;;;;;;;;;;;;
John;Brown;john.brown@demo.com;https://www.linkedin.com/in/johnbrown;Physical Sciences;UKZN;Environmental Science;Lab Technician;Yes;Female;32;No;10;Business, Statistics, Maths;9;Product;B2B / Enterprise, Artificial Intelligence, Marketplace;Finance;;;;;;;;;;;;;;
David;Brown;david.brown@demo.com;https://www.linkedin.com/in/davidbrown;Physical Sciences;UKZN;Energy, Environmental Science;Lab Technician, Materials Scientist;Yes;Other;25;Yes;21;Marketing, IT, Business;9;Product;Artificial Intelligence, Marketplace;Nutrition;;;;;;;;;;;;;;
Anna;Brown;anna.brown@demo.com;https://www.linkedin.com/in/annabrown;Civil Engineering;UWC;Civil Engineering, Urban Planning, Real Estate;Urban Planner, Structural Engineer;No;Female;24;No;24;Civil Engineering;9;Product, Operations;B2B / Enterprise, Blockchain;Communications, Circular economy, Nutrition;;;;;;;;;;;;;;
John;Williams;john.williams@demo.com;https://www.linkedin.com/in/johnwilliams;Law;UWC;Government, Legal;Lawyer, Legal Advisor;No;Male;24;No;10;Marketing, Electrical Engineering;8;Product;Real Estate / Proptech, Artificial Intelligence;Finance;;;;;;;;;;;;;;
David;Jones;david.jones@test.com;https://www.linkedin.com/in/davidjones;Architecture and the Built Environment;UWC;Construction, Real Estate, Architecture;Architect, Construction Manager;No;Female;29;No;16;IT, Marketing;9;Sales and marketing;Blockchain, Real Estate / Proptech;Circular economy, Early childhood development;;;;;;;;;;;;;;
Michael;Martinez;michael.martinez@test.com;https://www.linkedin.com/in/michaelmartinez;Chemical Engineering;UWC;Chemical Engineering, Food Production;Process Engineer;Yes;Female;26;No;11;Chemical Engineering;9;Product;Climate / Sustainability;Nutrition;;;;;;;;;;;;;;
David;Smith;david.smith@example.com;https://www.linkedin.com/in/davidsmith;Chemical Engineering;UWC;Chemical Engineering, Food Production;Chemical Engineer;Yes;Other;22;No;18;Chemical Engineering;6;Operations, Sales and marketing;B2B / Enterprise;Agriculture;;;;;;;;;;;;;;
David;Martinez;david.martinez@test.com;https://www.linkedin.com/in/davidmartinez;Architecture and the Built Environment;UWC;Architecture, Construction, Real Estate;Urban Planner, Architect;No;Male;34;No;19;Biochemistry, Civil Engineering;7;Product, Sales and marketing;Blockchain, Artificial Intelligence;Communications;;;;;;;;;;;;;;
Alex;Smith;alex.smith@test.com;https://www.linkedin.com/in/alexsmith;Mathematics and Statistics;UWC;Finance, IT;Data Analyst, Quantitative Analyst;Yes;Other;24;No;15;IT;6;Sales and marketing;Marketplace;Circular economy;;;;;;;;;;;;;;
Jane;Miller;jane.miller@test.com;https://www.linkedin.com/in/janemiller;Chemical Engineering;UWC;Pharmaceuticals;Quality Control Engineer;Yes;Other;34;Yes;1;Industrial Engineering;8;Sales and marketing;B2B / Enterprise;Education;;;;;;;;;;;;;;
Jane;Martinez;jane.martinez@example.com;https://www.linkedin.com/in/janemartinez;Architecture and the Built Environment;UWC;Construction, Architecture, Real Estate;Structural Engineer, Architect;No;Female;34;Yes;10;Electrical Engineering;6;Operations;Blockchain, Climate / Sustainability;Finance, Infrastructure;;;;;;;;;;;;;;
Jessica;Jones;jessica.jones@test.com;https://www.linkedin.com/in/jessicajones;Law;UWC;Legal;Compliance Officer;No;Female;35;No;3;Industrial Engineering, Electrical Engineering, Business;7;Sales and marketing, Operations;B2B / Enterprise, Artificial Intelligence, Real Estate / Proptech;Finance;;;;;;;;;;;;;;
David;Johnson;david.johnson@test.com;https://www.linkedin.com/in/davidjohnson;Civil Engineering;UWC;Real Estate, Construction;Structural Engineer, Construction Manager;No;Other;30;No;11;Logistics, Chemical Engineering;9;Operations, Product;Real Estate / Proptech;Finance;;;;;;;;;;;;;;
Jane;Jones;jane.jones@test.com;https://www.linkedin.com/in/janejones;Mathematics and Statistics;UWC;Research;Quantitative Analyst;Yes;Female;29;Yes;3;Marketing, Insurance, Maths;9;Sales and marketing;B2B / Enterprise, Blockchain, Artificial Intelligence;Circular economy;;;;;;;;;;;;;;
Jane;Jones;jane.jones@demo.com;https://www.linkedin.com/in/janejones;Law;UWC;Legal, Government;Lawyer, Compliance Officer;No;Male;20;Yes;24;Logistics;7;Operations, Sales and marketing;Real Estate / Proptech;Finance;;;;;;;;;;;;;;
Jane;Smith;jane.smith@example.com;https://www.linkedin.com/in/janesmith;Civil Engineering;Wits;Construction, Urban Planning, Real Estate;Urban Planner, Structural Engineer;No;Female;23;Yes;6;Insurance, Investments;10;Operations, Product;B2B / Enterprise;Nutrition, Communications, Infrastructure;;;;;;;;;;;;;;
Jessica;Martinez;jessica.martinez@example.com;https://www.linkedin.com/in/jessicamartinez;Law;Wits;Government, Corporate;Lawyer, Compliance Officer;No;Male;28;No;16;Investments;10;Operations;Climate / Sustainability;Communications, Energy;;;;;;;;;;;;;;
Emily;Doe;emily.doe@example.com;https://www.linkedin.com/in/emilydoe;Law;Wits;Legal, Government;Paralegal;No;Female;31;No;17;Marketing;6;Sales and marketing, Operations;Marketplace, Blockchain;Energy;;;;;;;;;;;;;;
Robert;Williams;robert.williams@demo.com;https://www.linkedin.com/in/robertwilliams;Law;Wits;Government, Corporate;Legal Advisor, Compliance Officer;No;Other;35;Yes;16;Statistics, Investments;6;Operations, Product;Blockchain, Climate / Sustainability, Marketplace;Circular economy, Communications;;;;;;;;;;;;;;
Jane;Davis;jane.davis@demo.com;https://www.linkedin.com/in/janedavis;Industrial Engineering;Wits;Manufacturing, Industrial Engineering, Consulting;Operations Manager, Industrial Engineer;Yes;Other;28;Yes;18;Industrial Engineering;7;Product, Sales and marketing;Artificial Intelligence, Real Estate / Proptech;Education;;;;;;;;;;;;;;
John;Jones;john.jones@test.com;https://www.linkedin.com/in/johnjones;Industrial Engineering;Wits;Logistics;Supply Chain Manager;Yes;Male;27;No;17;Logistics;6;Product, Operations;Real Estate / Proptech;Early childhood development, Communications, Infrastructure;;;;;;;;;;;;;;
Sarah;Williams;sarah.williams@demo.com;https://www.linkedin.com/in/sarahwilliams;Architecture and the Built Environment;Wits;Urban Planning, Construction;Structural Engineer, Construction Manager;No;Male;27;Yes;22;Statistics;10;Product;Real Estate / Proptech;Communications, Circular economy;;;;;;;;;;;;;;
John;Johnson;john.johnson@test.com;https://www.linkedin.com/in/johnjohnson;Physical Sciences;Wits;Environmental Science, Healthcare, Energy;Materials Scientist, Physicist;Yes;Male;21;Yes;8;Investments;9;Operations;Marketplace, B2B / Enterprise;Energy, Nutrition, Education;;;;;;;;;;;;;;
Michael;Doe;michael.doe@example.com;https://www.linkedin.com/in/michaeldoe;Computer and Information Sciences;Wits;Finance, IT, Education;IT Consultant, Web Developer;Yes;Other;29;Yes;17;IT;7;Operations, Sales and marketing;Climate / Sustainability, Blockchain;Circular economy, Early childhood development;;;;;;;;;;;;;;
Anna;Martinez;anna.martinez@demo.com;https://www.linkedin.com/in/annamartinez;Business, Economics and Management Sciences;Wits;Consulting;Financial Analyst;No;Female;24;No;5;Investments;9;Operations;Climate / Sustainability, B2B / Enterprise;Healthcare, Agriculture;;;;;;;;;;;;;;
Alex;Johnson;alex.johnson@demo.com;https://www.linkedin.com/in/alexjohnson;Physical Sciences;Wits;Research, Environmental Science;Physicist, Lab Technician;Yes;Other;31;Yes;22;Electrical Engineering, IT, Statistics;9;Sales and marketing;Blockchain, B2B / Enterprise;Agriculture, Circular economy;;;;;;;;;;;;;;
David;Jones;david.jones@example.com;https://www.linkedin.com/in/davidjones;Physical Sciences;Wits;Environmental Science;Lab Technician;Yes;Male;35;Yes;21;Insurance;9;Product, Operations;Artificial Intelligence, Real Estate / Proptech, Blockchain;Agriculture;;;;;;;;;;;;;;
David;Martinez;david.martinez@example.com;https://www.linkedin.com/in/davidmartinez;Physical Sciences;Wits;Environmental Science;Lab Technician;Yes;Male;21;No;23;Logistics;10;Product, Sales and marketing;Blockchain;Early childhood development, Infrastructure, Nutrition;;;;;;;;;;;;;;
Michael;Smith;michael.smith@example.com;https://www.linkedin.com/in/michaelsmith;Computer and Information Sciences;NWU;Education;IT Consultant;Yes;Male;23;No;21;Electrical Engineering, Maths;6;Sales and marketing, Product;Climate / Sustainability, B2B / Enterprise, Marketplace;Early childhood development, Nutrition, Circular economy;;;;;;;;;;;;;;
Robert;Garcia;robert.garcia@demo.com;https://www.linkedin.com/in/robertgarcia;Psychology;NWU;Human Resources;Human Resources Manager;No;Other;32;Yes;19;Business;10;Product, Operations;Marketplace, B2B / Enterprise;Communications, Early childhood development;;;;;;;;;;;;;;
Emily;Miller;emily.miller@demo.com;https://www.linkedin.com/in/emilymiller;Agriculture, Agricultural Operations & Related Sciences;NWU;Agriculture, Environmental Science;Agricultural Manager, Farm Manager;No;Other;28;Yes;6;Marketing, Business;9;Product, Sales and marketing;Marketplace, Real Estate / Proptech, B2B / Enterprise;Healthcare, Agriculture;;;;;;;;;;;;;;
Robert;Williams;robert.williams@example.com;https://www.linkedin.com/in/robertwilliams;Electrical Engineering;NWU;Energy;Software Engineer;Yes;Male;27;No;14;Biochemistry, IT, Electrical Engineering;10;Operations;Marketplace, Artificial Intelligence, Real Estate / Proptech;Energy, Early childhood development;;;;;;;;;;;;;;
